perfil;codigo;categoria;escopo;apps;permissoes;atribuido_por;disponivel_no_cadastro
Admin (Sistema);ADMIN;Administração e Governança;ADMIN;Contas e Acessos (manage users, ver), Organização (manage municipio, manage secretaria, manage unidade, ver), Educação (operar, ver), Avaliações (operar, ver), NEE (operar, ver), Saúde (operar, ver), Financeiro (contabilidade, operar, tesouraria, ver), Processos (operar, ver), Compras (operar, ver), Contratos (operar, ver), RH (operar, ver), Ponto (operar, ver), Folha (operar, ver), Patrimônio (operar, ver), Almoxarifado (operar, ver), Frota (operar, ver), Ouvidoria (operar, ver), Tributos (operar, ver), Câmara (operar, operar cms, operar proposicoes, operar sessoes, operar transmissoes, operar transparencia, ver), Integrações (administrar, operar, ver), Comunicação (administrar, auditar, enviar, operar, ver), Painéis BI (operar, publicar, ver), Ferramentas PDF (operar, ver), Plano e Assinatura (administrar, operar, ver), Relatórios (ver), Sistema (admin django);accounts.manage_users, accounts.view, almoxarifado.manage, almoxarifado.view, avaliacoes.manage, avaliacoes.view, billing.admin, billing.manage, billing.view, camara.cms.manage, camara.manage, camara.proposicoes.manage, camara.sessoes.manage, camara.transmissoes.manage, camara.transparencia.manage, camara.view, compras.manage, compras.view, comunicacao.admin, comunicacao.audit, comunicacao.manage, comunicacao.send, comunicacao.view, contratos.manage, contratos.view, conversor.manage, conversor.view, educacao.manage, educacao.view, financeiro.contabilidade, financeiro.manage, financeiro.tesouraria, financeiro.view, folha.manage, folha.view, frota.manage, frota.view, integracoes.admin, integracoes.manage, integracoes.view, nee.manage, nee.view, org.manage_municipio, org.manage_secretaria, org.manage_unidade, org.view, ouvidoria.manage, ouvidoria.view, paineis.manage, paineis.publish, paineis.view, patrimonio.manage, patrimonio.view, ponto.manage, ponto.view, processos.manage, processos.view, reports.view, rh.manage, rh.view, saude.manage, saude.view, system.admin_django, tributos.manage, tributos.view;Admin (Sistema);SIM
Controladoria / Auditoria;AUDITORIA;Administração e Governança;MUNICIPAL;Organização (ver), Educação (ver), Avaliações (ver), NEE (ver), Saúde (ver), Financeiro (ver), Processos (ver), Compras (ver), Contratos (ver), RH (ver), Ponto (ver), Folha (ver), Patrimônio (ver), Almoxarifado (ver), Frota (ver), Ouvidoria (ver), Tributos (ver), Câmara (ver), Integrações (ver), Comunicação (auditar, ver), Painéis BI (ver), Ferramentas PDF (ver), Relatórios (ver);almoxarifado.view, avaliacoes.view, camara.view, compras.view, comunicacao.audit, comunicacao.view, contratos.view, conversor.view, educacao.view, financeiro.view, folha.view, frota.view, integracoes.view, nee.view, org.view, ouvidoria.view, paineis.view, patrimonio.view, ponto.view, processos.view, reports.view, rh.view, saude.view, tributos.view;Admin (Sistema), Gestor Municipal;SIM
Gestor de Cadastros;CAD_GESTOR;Administração e Governança;MUNICIPAL;Contas e Acessos (manage users), Organização (manage secretaria, manage unidade, ver);accounts.manage_users, org.manage_secretaria, org.manage_unidade, org.view;Admin (Sistema), Gestor Municipal;SIM
Gestor de Secretaria;SECRETARIA;Administração e Governança;SECRETARIA;Contas e Acessos (manage users, ver), Organização (manage unidade, ver), Educação (operar, ver), Avaliações (operar, ver), NEE (operar, ver), Saúde (operar, ver), Financeiro (ver), Processos (operar, ver), Compras (operar, ver), Contratos (operar, ver), RH (operar, ver), Ponto (operar, ver), Folha (operar, ver), Patrimônio (ver), Almoxarifado (ver), Frota (ver), Ouvidoria (operar, ver), Tributos (ver), Câmara (operar cms, ver), Integrações (operar, ver), Comunicação (auditar, enviar, operar, ver), Painéis BI (operar, publicar, ver), Ferramentas PDF (operar, ver), Relatórios (ver);accounts.manage_users, accounts.view, almoxarifado.view, avaliacoes.manage, avaliacoes.view, camara.cms.manage, camara.view, compras.manage, compras.view, comunicacao.audit, comunicacao.manage, comunicacao.send, comunicacao.view, contratos.manage, contratos.view, conversor.manage, conversor.view, educacao.manage, educacao.view, financeiro.view, folha.manage, folha.view, frota.view, integracoes.manage, integracoes.view, nee.manage, nee.view, org.manage_unidade, org.view, ouvidoria.manage, ouvidoria.view, paineis.manage, paineis.publish, paineis.view, patrimonio.view, ponto.manage, ponto.view, processos.manage, processos.view, reports.view, rh.manage, rh.view, saude.manage, saude.view, tributos.view;Admin (Sistema), Gestor Municipal;SIM
Gestor de Unidade;UNIDADE;Administração e Governança;UNIDADE;Contas e Acessos (manage users, ver), Organização (ver), Educação (operar, ver), Avaliações (operar, ver), NEE (operar, ver), Saúde (ver), Financeiro (ver), Processos (ver), Compras (ver), Contratos (ver), RH (ver), Ponto (ver), Folha (ver), Patrimônio (ver), Almoxarifado (ver), Frota (ver), Ouvidoria (ver), Tributos (ver), Câmara (ver), Integrações (ver), Comunicação (enviar, ver), Painéis BI (ver), Ferramentas PDF (ver), Relatórios (ver);accounts.manage_users, accounts.view, almoxarifado.view, avaliacoes.manage, avaliacoes.view, camara.view, compras.view, comunicacao.send, comunicacao.view, contratos.view, conversor.view, educacao.manage, educacao.view, financeiro.view, folha.view, frota.view, integracoes.view, nee.manage, nee.view, org.view, ouvidoria.view, paineis.view, patrimonio.view, ponto.view, processos.view, reports.view, rh.view, saude.view, tributos.view;Admin (Sistema), Gestor de Secretaria, Gestor Municipal;SIM
Gestor Municipal;MUNICIPAL;Administração e Governança;MUNICIPAL;Contas e Acessos (manage users, ver), Organização (manage secretaria, manage unidade, ver), Educação (operar, ver), Avaliações (operar, ver), NEE (operar, ver), Saúde (operar, ver), Financeiro (contabilidade, operar, tesouraria, ver), Processos (operar, ver), Compras (operar, ver), Contratos (operar, ver), RH (operar, ver), Ponto (operar, ver), Folha (operar, ver), Patrimônio (operar, ver), Almoxarifado (operar, ver), Frota (operar, ver), Ouvidoria (operar, ver), Tributos (operar, ver), Câmara (operar, operar cms, operar proposicoes, operar sessoes, operar transmissoes, operar transparencia, ver), Integrações (administrar, operar, ver), Comunicação (administrar, auditar, enviar, operar, ver), Painéis BI (operar, publicar, ver), Ferramentas PDF (operar, ver), Plano e Assinatura (operar, ver), Relatórios (ver);accounts.manage_users, accounts.view, almoxarifado.manage, almoxarifado.view, avaliacoes.manage, avaliacoes.view, billing.manage, billing.view, camara.cms.manage, camara.manage, camara.proposicoes.manage, camara.sessoes.manage, camara.transmissoes.manage, camara.transparencia.manage, camara.view, compras.manage, compras.view, comunicacao.admin, comunicacao.audit, comunicacao.manage, comunicacao.send, comunicacao.view, contratos.manage, contratos.view, conversor.manage, conversor.view, educacao.manage, educacao.view, financeiro.contabilidade, financeiro.manage, financeiro.tesouraria, financeiro.view, folha.manage, folha.view, frota.manage, frota.view, integracoes.admin, integracoes.manage, integracoes.view, nee.manage, nee.view, org.manage_secretaria, org.manage_unidade, org.view, ouvidoria.manage, ouvidoria.view, paineis.manage, paineis.publish, paineis.view, patrimonio.manage, patrimonio.view, ponto.manage, ponto.view, processos.manage, processos.view, reports.view, rh.manage, rh.view, saude.manage, saude.view, tributos.manage, tributos.view;Admin (Sistema);SIM
Operador de Cadastros;CAD_OPER;Administração e Governança;SECRETARIA;Organização (ver);org.view;Admin (Sistema), Gestor de Secretaria, Gestor Municipal;SIM
Somente leitura;LEITURA;Administração e Governança;LEITURA;Contas e Acessos (ver), Financeiro (ver), Processos (ver), Compras (ver), Contratos (ver), Câmara (ver), Comunicação (ver), Painéis BI (ver), Ferramentas PDF (ver), Relatórios (ver);accounts.view, camara.view, compras.view, comunicacao.view, contratos.view, conversor.view, financeiro.view, paineis.view, processos.view, reports.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Coordenador Municipal NEE;NEE_COORD_MUN;Educação;MUNICIPAL;Educação (ver), NEE (operar, ver), Saúde (ver), Relatórios (ver);educacao.view, nee.manage, nee.view, reports.view, saude.view;Admin (Sistema), Gestor Municipal;SIM
Coordenador NEE da Escola;NEE_COORD_ESC;Educação;UNIDADE;Educação (ver), NEE (operar, ver);educacao.view, nee.manage, nee.view;Admin (Sistema), Gestor de Secretaria, Gestor de Unidade, Gestor Municipal;SIM
Coordenador Pedagógico;EDU_COORD;Educação;UNIDADE;Educação (operar, ver), Avaliações (operar, ver), NEE (ver), Comunicação (enviar, ver);avaliacoes.manage, avaliacoes.view, comunicacao.send, comunicacao.view, educacao.manage, educacao.view, nee.view;Admin (Sistema), Gestor de Secretaria, Gestor Municipal;SIM
