role_code,role_name,area,scope_base,module_key,module_name,view,create,edit,delete,approve,export,manage_users,configure_module,reports
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,org,Administracao / ORG,SIM,SIM,SIM,SIM,NAO,SIM,SIM,SIM,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,educacao,Educacao,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,avaliacoes,Avaliacoes,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,nee,NEE,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,saude,Saude,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,processos,Processos / Protocolo,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,financeiro,Financeiro,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,compras,Compras,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,contratos,Contratos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,integracoes,Integracoes,SIM,SIM,SIM,SIM,NAO,SIM,SIM,SIM,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,paineis,Paineis / BI,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,conversor,Conversor de Documentos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,rh,RH,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,ponto,Ponto,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,folha,Folha,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,patrimonio,Patrimonio,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,almoxarifado,Almoxarifado,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,frota,Frota,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,ouvidoria,Ouvidoria,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,tributos,Tributos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,billing,Billing / Contrato SaaS,SIM,SIM,SIM,SIM,NAO,SIM,SIM,SIM,SIM
ADMIN,Admin (Sistema),Administracao e Governanca,ADMIN,portal,Portal da Prefeitura,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,org,Administracao / ORG,SIM,SIM,SIM,SIM,NAO,SIM,SIM,SIM,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,educacao,Educacao,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,avaliacoes,Avaliacoes,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,nee,NEE,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,saude,Saude,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,processos,Processos / Protocolo,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,financeiro,Financeiro,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,compras,Compras,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,contratos,Contratos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,integracoes,Integracoes,SIM,SIM,SIM,SIM,NAO,SIM,SIM,SIM,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,paineis,Paineis / BI,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,conversor,Conversor de Documentos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,rh,RH,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,ponto,Ponto,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,folha,Folha,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,patrimonio,Patrimonio,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,almoxarifado,Almoxarifado,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,frota,Frota,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,ouvidoria,Ouvidoria,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,tributos,Tributos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,billing,Billing / Contrato SaaS,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
MUNICIPAL,Gestor Municipal,Administracao e Governanca,MUNICIPAL,portal,Portal da Prefeitura,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,org,Administracao / ORG,SIM,SIM,SIM,SIM,NAO,SIM,SIM,SIM,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,educacao,Educacao,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,avaliacoes,Avaliacoes,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,nee,NEE,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,saude,Saude,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,processos,Processos / Protocolo,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,financeiro,Financeiro,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,compras,Compras,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,contratos,Contratos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,integracoes,Integracoes,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,paineis,Paineis / BI,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,conversor,Conversor de Documentos,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,rh,RH,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,ponto,Ponto,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,folha,Folha,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,patrimonio,Patrimonio,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,almoxarifado,Almoxarifado,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,frota,Frota,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,ouvidoria,Ouvidoria,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,tributos,Tributos,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,billing,Billing / Contrato SaaS,NAO,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
SECRETARIA,Gestor de Secretaria,Administracao e Governanca,SECRETARIA,portal,Portal da Prefeitura,SIM,SIM,SIM,SIM,SIM,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,org,Administracao / ORG,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,educacao,Educacao,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,avaliacoes,Avaliacoes,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,nee,NEE,SIM,SIM,SIM,SIM,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,saude,Saude,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,processos,Processos / Protocolo,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,financeiro,Financeiro,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,compras,Compras,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
UNIDADE,Gestor de Unidade,Administracao e Governanca,UNIDADE,contratos,Contratos,SIM,NAO,NAO,NAO,NAO,SIM,SIM,NAO,SIM
